,name,jun,url,score,dinner,lunch
72,まるかや 本店,もつ焼き,https://tabelog.com/tokyo/A1324/A132402/13049428/,3.45, 2000 2999,- -
73,明日香 北千住店（あすか）,割烹・小料理,https://tabelog.com/tokyo/A1324/A132402/13003772/,3.45, 6000 7999, 2000 2999
74,まじ満（まじま）,うなぎ,https://tabelog.com/tokyo/A1324/A132402/13080973/,3.45, 3000 3999, 1000 1999
75,MOTORA （モトラ）,イタリアン,https://tabelog.com/tokyo/A1324/A132402/13172909/,3.45, 10000 14999, 6000 7999
76,稲荷ずし 松むら 千住店（いなりずし・まつむら）,和食,https://tabelog.com/tokyo/A1324/A132402/13008721/,3.45,- -,0 999
77,肉三昧 石川竜乃介（ニクザンマイ　イシカワリュウノスケ）,焼肉,https://tabelog.com/tokyo/A1324/A132402/13182879/,3.44, 3000 3999, 3000 3999
78,ブラッスリー　ロノマトペ（brasserie l'onomatopee）,フレンチ,https://tabelog.com/tokyo/A1324/A132402/13194974/,3.44, 8000 9999, 1000 1999
79,素揚げ酒場 パリパリ,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13209621/,3.43, 2000 2999,- -
80,もつ焼き つみき 千住本店,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13165992/,3.43, 1000 1999,- -
81,タチアタル,立ち飲み居酒屋・バー,https://tabelog.com/tokyo/A1324/A132402/13246471/,3.43, 2000 2999,- -
82,東北うまいもの酒場 プエドバル（puedobar）,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13181295/,3.43, 4000 4999,0 999
83,あさり食堂,バル・バール,https://tabelog.com/tokyo/A1324/A132402/13161349/,3.42, 4000 4999,0 999
84,酒呑倶楽部  アタル,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13221666/,3.42, 4000 4999,- -
85,さかなや　いいとこ 北千住店,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13137496/,3.42, 4000 4999,0 999
86,石井,焼鳥,https://tabelog.com/tokyo/A1324/A132402/13058650/,3.42, 1000 1999,- -
87,もつ焼き やまぴー,もつ焼き,https://tabelog.com/tokyo/A1324/A132402/13231748/,3.42, 2000 2999,- -
88,炭火焼肉 明翠園,焼肉,https://tabelog.com/tokyo/A1324/A132402/13090054/,3.42, 5000 5999, 1000 1999
89,宇豆基野 北千住マルイ店（ウズキノ）,デリカテッセン,https://tabelog.com/tokyo/A1324/A132402/13185587/,3.42, 1000 1999, 1000 1999
90,葵,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13173737/,3.42, 2000 2999,- -
91,じんざえ門,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13075318/,3.41, 2000 2999, 2000 2999
92,ＮＩＨＩＲＯ,居酒屋,https://tabelog.com/tokyo/A1324/A132402/13067043/,3.41, 3000 3999,- -
